record_date,employee_id,name,title,team,manager_id,comp_band,starts_at,ends_at,status,version,supersedes,effective_from,effective_to
2026-04-21,emp_07,Carlos Bauer,Installer,Operations,emp_01,band_a,2025-12-28,,active,1,,2025-12-28,
2026-04-21,emp_08,Marcus Carr,Installer,Operations,emp_01,band_a,2026-02-04,,active,1,,2026-02-04,
2026-04-21,emp_09,Andre Ellis,Account Manager,Sales,emp_02,band_c,2026-02-27,,active,1,,2026-02-27,
2026-04-21,emp_10,Irene Hale,Account Manager,Sales,emp_01,band_c,2026-03-21,,active,1,,2026-03-21,
2026-05-21,emp_01,Nadia Carr,Founder,Leadership,,founder,2025-08-15,,active,1,,2025-08-15,
2026-05-21,emp_02,Anthony Ellis,Founder,Leadership,,founder,2025-08-09,,active,1,,2025-08-09,
2026-05-21,emp_04,Rowan Lambert,Dispatcher,Operations,emp_01,band_b,2025-09-12,,active,1,,2025-09-12,
2026-05-21,emp_05,Erin Tanner,Dispatcher,Operations,emp_01,band_b,2025-11-12,,active,1,,2025-11-12,
2026-05-21,emp_06,Taylor Sutton,Installer,Operations,emp_02,band_a,2025-11-26,,active,1,,2025-11-26,
2026-05-21,emp_07,Carlos Bauer,Installer,Operations,emp_01,band_a,2025-12-28,,active,1,,2025-12-28,
2026-05-21,emp_08,Marcus Carr,Installer,Operations,emp_01,band_a,2026-02-04,,active,1,,2026-02-04,
2026-05-21,emp_09,Andre Ellis,Account Manager,Sales,emp_02,band_c,2026-02-27,,active,1,,2026-02-27,
2026-05-21,emp_10,Irene Hale,Account Manager,Sales,emp_01,band_c,2026-03-21,,active,1,,2026-03-21,
2026-05-21,emp_11,Harper Lambert,Installer,Operations,emp_01,band_a,2026-05-10,,active,1,,2026-05-10,
2026-06-21,emp_01,Nadia Carr,Founder,Leadership,,founder,2025-08-15,,active,1,,2025-08-15,
2026-06-21,emp_02,Anthony Ellis,Founder,Leadership,,founder,2025-08-09,,active,1,,2025-08-09,
2026-06-21,emp_04,Rowan Lambert,Dispatcher,Operations,emp_01,band_b,2025-09-12,,active,1,,2025-09-12,
2026-06-21,emp_05,Erin Tanner,Dispatcher,Operations,emp_01,band_b,2025-11-12,,active,1,,2025-11-12,
2026-06-21,emp_06,Taylor Sutton,Installer,Operations,emp_02,band_a,2025-11-26,,active,1,,2025-11-26,
2026-06-21,emp_07,Carlos Bauer,Installer,Operations,emp_01,band_a,2025-12-28,,active,1,,2025-12-28,
2026-06-21,emp_08,Marcus Carr,Installer,Operations,emp_01,band_a,2026-02-04,,active,1,,2026-02-04,
2026-06-21,emp_09,Andre Ellis,Account Manager,Sales,emp_02,band_c,2026-02-27,,active,1,,2026-02-27,
2026-06-21,emp_10,Irene Hale,Account Manager,Sales,emp_01,band_c,2026-03-21,,active,1,,2026-03-21,
2026-06-21,emp_11,Harper Lambert,Installer,Operations,emp_01,band_a,2026-05-10,,active,1,,2026-05-10,
2026-06-21,emp_12,Derek Tanner,Installer,Operations,emp_01,band_a,2026-06-03,,active,1,,2026-06-03,
2026-07-21,emp_01,Nadia Carr,Founder,Leadership,,founder,2025-08-15,,active,1,,2025-08-15,
2026-07-21,emp_02,Anthony Ellis,Founder,Leadership,,founder,2025-08-09,,active,1,,2025-08-09,
2026-07-21,emp_04,Rowan Lambert,Dispatcher,Operations,emp_01,band_b,2025-09-12,,active,1,,2025-09-12,
2026-07-21,emp_05,Erin Tanner,Dispatcher,Operations,emp_01,band_b,2025-11-12,,active,1,,2025-11-12,
2026-07-21,emp_06,Taylor Sutton,Installer,Operations,emp_02,band_a,2025-11-26,,active,1,,2025-11-26,
2026-07-21,emp_07,Carlos Bauer,Installer,Operations,emp_01,band_a,2025-12-28,,active,1,,2025-12-28,
2026-07-21,emp_08,Marcus Carr,Installer,Operations,emp_01,band_a,2026-02-04,,active,1,,2026-02-04,
2026-07-21,emp_09,Andre Ellis,Account Manager,Sales,emp_02,band_c,2026-02-27,,active,1,,2026-02-27,
2026-07-21,emp_10,Irene Hale,Account Manager,Sales,emp_01,band_c,2026-03-21,,active,1,,2026-03-21,
2026-07-21,emp_11,Harper Lambert,Installer,Operations,emp_01,band_a,2026-05-10,,active,1,,2026-05-10,
2026-07-21,emp_12,Derek Tanner,Installer,Operations,emp_01,band_a,2026-06-03,,active,1,,2026-06-03,
2026-07-21,emp_13,Omar Lane,Installer,Operations,emp_02,band_a,2026-06-29,,active,1,,2026-06-29,
